predictor_set,term,target,omega,odds_ratio,sign,regulation_type,hdi_lower95,hdi_upper95,eti_lower95,eti_upper95,retained,credibility,response_mode,response_label,response_source,response_trigger,dominant_direction,class_0_count,class_1_count,min_class_count,jitter_used,jitter_scale_factor,jitter_scale,jitter_basis,jitter_basis_value,jitter_attempts,predictor_jitter_used,predictor_jitter_scale_factor,predictor_jitter_variables,effect_interpretation,analysis_mode,pairwise_predictor,rel_strength,n_predictors,pairwise_target,method
original,X,dY,5.5708507629,262.6574634371209,1,activation,3.5295223,7.7187661,3.630970735,7.884265389999999,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
original,Y,dY,-1.641546620986625,0.1936802605706058,-1,inhibition,-2.6878304,-0.61691725,-2.7654390025,-0.6684273475,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
first_derivative,X_d1,dY,0.49079298320125875,1.6336111326510974,1,activation,0.034843838,0.99968567,0.030339284650000013,0.9967561605,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
second_derivative,X_d2,dY,-2.2875142937725,0.10151849363746769,-1,inhibition,-3.5284419,-1.0714725,-3.6889400374999997,-1.1935984325,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
second_derivative,Y_d2,dY,-0.39358549647454416,0.6746336363136214,-1,inhibition,-1.0919289,0.36958195,-1.12412827,0.34239582649999994,FALSE,uncertain,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,X,dY,5.8377202116625,342.99648924028736,1,activation,3.5953915,8.281736,3.620213675,8.315178855,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,Y,dY,-0.6610358234648664,0.5163162449285906,-1,inhibition,-3.2763828,1.8531519,-3.4014699275,1.7481046274999985,FALSE,uncertain,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,X_d1,dY,1.1031027893223737,3.013501794182419,1,activation,-1.5290823,3.729877,-1.5625707675,3.702572439999999,FALSE,uncertain,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,X_d2,dY,-1.4212554742010757,0.24141074160177395,-1,inhibition,-4.363585,1.289244,-4.410663847499999,1.2531743825,FALSE,uncertain,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
all_predictors,Y_d2,dY,-0.2452427770914763,0.782514538575305,-1,inhibition,-3.0477226,2.3417588,-2.9588346774999996,2.448092849999999,FALSE,uncertain,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,multivariable,NA,NA,NA,NA,Bayesian Logistic (brms)
original,X,dX,-0.42231914404695875,0.655524799169043,-1,inhibition,-0.84871831,-0.0066925837,-0.84564848125,0.0035487678474999586,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,X,Bayesian Logistic (brms)
second_derivative,X_d2,dX,0.19203373657817363,1.2117113952715601,1,activation,-0.26165617,0.59697197,-0.23624870774999995,0.6246400839999998,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,X,Bayesian Logistic (brms)
all_predictors,X,dX,-0.5055035267655013,0.6032017707100059,-1,inhibition,-1.0455573,0.018273932,-1.04157611,0.024009410074999855,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,X,Bayesian Logistic (brms)
all_predictors,X_d2,dX,-0.12294222446969424,0.8843147528387252,-1,inhibition,-0.64697792,0.40440233,-0.6488218925000001,0.40359809424999993,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,X,Bayesian Logistic (brms)
original,Y,dX,-4.803380849675,0.008201970492023362,-1,inhibition,-6.5967326,-3.0752726,-6.796436587500001,-3.2137177425000005,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,X,Bayesian Logistic (brms)
first_derivative,Y_d1,dX,-0.26319948652715625,0.7685885589547629,-1,inhibition,-0.66151927,0.1471431,-0.67889270275,0.1343530209999997,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,X,Bayesian Logistic (brms)
second_derivative,Y_d2,dX,1.1153020095325,3.0504893169319938,1,activation,0.50822478,1.7399169,0.5557791545,1.8070429024999994,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,X,Bayesian Logistic (brms)
all_predictors,Y,dX,-6.09362445375,0.0022572129069757603,-1,inhibition,-8.3360089,-4.0244749,-8.4408754475,-4.1031205150000005,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,X,Bayesian Logistic (brms)
all_predictors,Y_d1,dX,-1.1882815697004638,0.3047444965451529,-1,inhibition,-2.5900989,-0.053223004,-2.6020884425,-0.06071857912500073,TRUE,credible,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,X,Bayesian Logistic (brms)
all_predictors,Y_d2,dX,-1.0792883221266063,0.3398372942869363,-1,inhibition,-3.010315,1.1532959,-2.9830507375,1.1929886799999974,FALSE,uncertain,directional,raw_first_derivative_direction,X_d1,raw_directional,1,41,57,41,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,X,Bayesian Logistic (brms)
original,X,dY,4.2879384363625,72.81619843029378,1,activation,2.7779303,6.0217574,2.83457488,6.110456619999999,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,Y,Bayesian Logistic (brms)
first_derivative,X_d1,dY,0.49079298320125875,1.6336111326510974,1,activation,0.034843838,0.99968567,0.030339284650000013,0.9967561605,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,Y,Bayesian Logistic (brms)
second_derivative,X_d2,dY,-1.98080227182375,0.13795851267363887,-1,inhibition,-3.0957251,-0.9945469,-3.1842504724999996,-1.0409007075,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,Y,Bayesian Logistic (brms)
all_predictors,X,dY,5.7494635945125,314.0221718844872,1,activation,3.6695408,7.8551098,3.785411305,8.030336407499998,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,Y,Bayesian Logistic (brms)
all_predictors,X_d1,dY,1.412656015854,4.106848786656217,1,activation,0.38984237,2.442728,0.3930940810000001,2.445830702499999,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,Y,Bayesian Logistic (brms)
all_predictors,X_d2,dY,-1.4280947374931003,0.23976530318556458,-1,inhibition,-3.8053738,1.106996,-4.177992280000001,0.8170634277499981,FALSE,uncertain,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,X,NA,NA,Y,Bayesian Logistic (brms)
original,Y,dY,-0.501686335972077,0.6055087071628453,-1,inhibition,-0.99005397,-0.051929162,-0.997868683,-0.05795647035000044,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,Y,Bayesian Logistic (brms)
second_derivative,Y_d2,dY,0.55089582569179,1.7348064061298474,1,activation,0.01928374,1.1398807,0.03012307710000001,1.1549847174999994,TRUE,credible,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,Y,Bayesian Logistic (brms)
all_predictors,Y,dY,-0.32514270120149,0.722424255476889,-1,inhibition,-0.92542611,0.28509779,-0.9475346259999999,0.2755445547499996,FALSE,uncertain,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,Y,Bayesian Logistic (brms)
all_predictors,Y_d2,dY,0.35568579375326065,1.4271590555175893,1,activation,-0.3547262,1.0342226,-0.31001739500000003,1.0816977799999994,FALSE,uncertain,directional,raw_first_derivative_direction,Y_d1,raw_directional,-1,66,32,32,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,positive_beta_increases_probability_of_target_increase,pairwise,Y,NA,NA,Y,Bayesian Logistic (brms)
